temp,rh,so2,no2,co,pm10,pm2.5,o3,day,dow,death_total
34.1,54,9.167105841,17.82411067,0.468817391,33.49544913,20.87252964,225.8405105,221,6,278
33.7,55,10.22301587,25.82010582,0.755185714,52.43722222,46.23809524,189.5,222,7,316
32.2,64,16.23809524,34.37883598,0.696828571,62.27070232,42.04761905,146.670716,223,1,272
32,57,19.71344456,39.87948439,0.762160476,79.0377263,59.54666667,104.625,224,2,265
31.6,60,11.68333333,37.63845599,0.628124524,58.24367973,40.20674603,73.125,225,3,278
31.8,60,11.35225564,37.28650794,0.574324286,64.92849206,50.5197619,72.125,226,4,276
31.5,61,10.36165577,30.84204793,0.565743464,80.66356075,58.6751634,92.625,227,5,270
31.3,59,8.189441196,25.65847953,0.430191579,51.03889817,40.73026316,94.25,228,6,246
31.4,58,9.032236842,21.03355263,0.432006053,45.93334603,30.59678363,81.375,229,7,282
30.2,66,8.40001941,24.72916667,0.440533929,41.66193583,26.60648148,40.5,230,1,279
30.5,72,11.52248677,28.99047619,0.486141429,45.75616296,28.94904762,37.12316773,231,2,286
30.8,70,14.00739348,41.51793546,0.650454524,75.90079298,54.71865079,38,232,3,259
30,73,22.41390091,52.60918711,0.8189,124.6795678,84.11580087,39.05230729,233,4,266
29.7,74,22.43079922,55.20695257,0.809631579,140.7946577,95.06052632,45.28571429,234,5,246
30.9,65,13.71212121,41.28186628,0.584669481,80.50073308,50.50887446,83.5,235,6,276
31.5,61,7.469395712,20.88596491,0.503254737,36.61929094,21.99552632,137.75,236,7,266
28.2,78,10.62481962,40.03102453,0.798295455,56.12890259,36.82186147,101,237,1,242
27.3,69,8.652339181,30.9,0.54153,36.69908306,23.285,88,238,2,250
27.7,70,7.304650515,24.00584795,0.523272431,48.31939542,36.3877193,105.1428571,239,3,246
30.1,68,8.608201058,42.75952381,0.657972857,45.65564241,34.11119048,129.625,240,4,270
31,66,8.671693122,35.26587302,0.586695,28.895,29.65791562,138.7861376,241,5,261
29.1,69,8.395382395,28.83838384,0.4922,32.96694975,21.18636364,130.75,242,6,238
25.7,57,9.825438596,35.54122807,0.58462,48.82774517,35.19710526,92,243,7,207
